名前,高さ,lon,lat,高さ２
富士山,        3776 m      ,35.362799,138.730781,3776
北岳,        3192 m      ,35.674321,138.238808,3192
間ノ岳,        3190 m      ,35.6460373,138.2283478,3190
奥穂高岳,        3190 m      ,36.2893045,137.6479085,3190
槍ヶ岳,        3180 m      ,36.34198,137.6476291,3180
荒川岳,        3141 m      ,35.4981816,138.1754427,3141
赤石岳,        3121 m      ,35.4612203,138.1573535,3121
御嶽山,        3067 m      ,35.8929915,137.4804059,3067
塩見岳,        3046 m      ,35.5731588,138.1836341,3046
仙丈ヶ岳,        3032 m      ,35.7200776,138.1836017,3032
乗鞍岳,        3025 m      ,36.1067649,137.5496858,3025
立山,        3015 m      ,41.1452706,123.0206182,3015
聖岳,        3013 m      ,35.4225239,138.1396386,3013
剱岳,        2999 m      ,36.6233432,137.6171558,2999
甲斐駒ヶ岳,        2967 m      ,35.7579741,138.2367221,2967
木曽駒ヶ岳,        2956 m      ,35.7895503,137.8045631,2956
白馬岳,        2932 m      ,36.7584922,137.758539,2932
薬師岳,        2926 m      ,36.4688619,137.5448066,2926
鷲羽岳,        2924 m      ,36.4030236,137.6052448,2924
赤岳,        2899 m      ,35.9708172,138.370098,2899
笠ヶ岳,        2898 m      ,36.3154851,137.5503901,2898
鹿島槍ヶ岳,        2889 m      ,36.6245664,137.7470544,2889
空木岳,        2863 m      ,35.7189925,137.8171028,2863
常念岳,        2857 m      ,36.3255337,137.7275978,2857
鳳凰山,        2840 m      ,22.24925,113.92,2840
五竜岳,        2814 m      ,36.6584312,137.7526913,2814
白山,        2702 m      ,42.185,127.291389,2702
金峰山,        2595 m      ,35.8716612,138.6255109,2595
光岳,        2592 m      ,35.3381873,138.0837932,2592
蓼科山,        2531 m      ,36.103762,138.2950578,2531
男体山,        2486 m      ,36.76508,139.4907491,2486
甲武信ヶ岳,        2475 m      ,35.9091833,138.728873,2475
火打山,        2461 m      ,36.9227052,138.0681118,2461
妙高山,        2454 m      ,36.8913042,138.1134761,2454
焼岳,        2444 m      ,36.22889,137.5882358,2444
燧ヶ岳,        2356 m      ,36.952958,139.2872596,2356
四阿山,        2354 m      ,36.54166,138.4127953,2354
高妻山,        2353 m      ,36.800083,138.0519386,2353
旭岳（大雪山）,        2291 m      ,22.53313205,113.93997784944546,2291
瑞牆山,        2230 m      ,35.8934876,138.5919868,2230
至仏山,        2228 m      ,36.9034506,139.1732087,2228
恵那山,        2191 m      ,35.4431409,137.5978344,2191
武尊山,        2158 m      ,36.805256,139.1326648,2158
苗場山,        2145 m      ,36.8459419,138.690323,2145
皇海山,        2144 m      ,36.6898711,139.3369628,2144
トムラウシ山,        2141 m      ,42.8008589,142.7738634,2141
平ヶ岳,        2141 m      ,37.0022277,139.1708614,2141
会津駒ヶ岳,        2133 m      ,37.0475827,139.3535483,2133
飯豊山,        2105 m      ,37.8548599,139.7071198,2105
